area_nr,fama,bt,altit,exp,north,east,sl_deg,pH_H2O,pH_KCl,pH_CaCl2,EC,Ntot,Ctot,CN,Al,Fe,Mn,Ca,K,Mg,Na,BS,CEC,P,sand,silt,clay,soil_type,total_cov,total_rich
A01,A,field,1793.00,170.00,-0.98,0.17,0.00,5.59,4.88,5.07,429.00,0.14,1.25,8.84,0.15,0.00,0.41,29.30,3.06,5.42,0.32,98.79,38.56,43.44,67.88,21.71,10.41,Sl3,100,29
A01,A,field,1795.00,170.00,-0.98,0.17,0.00,5.51,4.59,4.78,123.00,0.11,0.98,8.83,0.50,0.00,0.31,13.83,0.50,2.31,0.00,94.02,16.41,56.10,72.42,17.59,9.99,Sl3,100,22
A02,A,field,1803.00,270.00,0.00,-1.00,2.00,5.33,4.64,4.72,177.00,0.13,0.97,7.66,0.45,0.00,0.37,20.68,2.41,3.64,0.01,97.11,27.54,80.71,73.88,21.01,5.11,Sl2,99,16
A02,A,field,1804.00,270.00,0.00,-1.00,0.00,6.37,5.77,5.71,316.00,0.21,1.99,9.33,0.89,0.00,0.32,48.46,4.07,9.82,0.00,98.92,62.31,107.14,77.51,15.47,7.01,Sl2,90,7
A03,A,field,1798.00,170.00,-0.98,0.17,1.00,5.57,4.45,4.75,83.00,0.14,1.36,9.95,2.19,0.00,0.60,25.73,2.30,6.16,0.24,91.90,37.47,64.40,59.78,25.22,15.00,Sl4,65,12
A03,A,field,1799.00,170.00,-0.98,0.17,0.00,5.23,4.33,4.60,151.00,0.16,1.41,9.06,2.09,0.00,0.47,21.63,0.90,3.77,0.00,89.41,29.19,88.53,69.39,20.56,10.05,Sl3,50,14
A04,A,field,1806.00,270.00,0.00,-1.00,8.00,5.76,5.04,5.12,324.00,0.10,0.88,8.98,0.18,0.01,0.35,30.82,3.53,7.77,0.39,99.15,42.88,65.58,72.26,20.96,6.78,Sl2,60,10
A04,A,field,1806.00,270.00,0.00,-1.00,8.00,5.97,5.20,5.27,216.00,0.13,1.19,9.01,0.18,0.03,0.38,36.90,2.87,8.45,0.55,99.33,49.09,92.82,67.97,24.21,7.82,Sl2,70,9
A05,A,field,1802.00,190.00,-0.98,-0.17,0.00,5.54,4.95,5.05,495.00,0.19,1.76,9.25,0.71,0.08,0.52,49.37,3.83,9.72,0.50,98.29,64.52,115.92,69.00,21.72,9.28,Sl3,70,11
A05,A,field,1802.00,190.00,-0.98,-0.17,0.00,5.62,4.98,5.29,262.00,0.19,1.91,10.04,0.03,0.00,0.57,40.46,2.80,7.99,0.00,99.18,51.54,95.43,68.95,19.26,11.79,Sl3,40,9
A06,A,field,1812.00,205.00,-0.91,-0.42,5.00,5.43,4.50,4.73,81.00,0.09,0.93,10.12,1.76,0.00,0.34,21.04,1.73,4.20,0.03,92.02,29.33,41.52,75.95,19.10,4.95,Su2,95,13
A06,A,field,1813.00,230.00,-0.64,-0.77,5.00,5.29,4.65,4.82,154.00,0.15,1.45,9.48,0.75,0.00,0.63,37.53,0.62,6.19,0.00,96.84,45.58,83.30,74.44,18.65,6.91,Sl2,95,13
A07,A,field,1783.00,150.00,-0.87,0.50,1.00,5.14,4.54,4.54,399.00,0.13,1.15,8.94,0.70,0.00,0.56,27.94,1.78,6.62,0.65,96.35,38.40,58.61,67.96,20.63,11.42,Sl3,80,11
A07,A,field,1783.00,150.00,-0.87,0.50,3.00,5.62,4.65,4.84,98.00,0.15,1.49,10.24,0.39,0.00,0.69,30.52,2.17,5.59,0.32,97.22,39.71,66.79,63.50,23.18,13.32,Sl4,70,14
A08,A,field,1776.00,200.00,-0.94,-0.34,0.00,5.45,4.85,4.96,359.00,0.12,1.21,9.81,0.27,0.00,0.32,31.32,2.10,7.73,0.25,98.67,41.95,92.36,69.11,19.15,11.73,Sl3,30,10
A08,A,field,1776.00,190.00,-0.98,-0.17,0.00,5.18,4.40,4.52,300.00,0.13,1.30,10.08,3.19,0.01,0.39,17.70,1.89,4.19,0.26,85.92,27.99,61.58,69.99,18.20,11.81,Sl3,14,9
B02,B,field,1819.00,225.00,-0.71,-0.71,0.00,4.76,3.83,4.05,131.00,0.12,1.01,8.35,6.92,0.00,0.64,8.04,0.42,1.37,0.00,48.09,18.34,58.40,70.74,23.46,5.80,Sl2,70,18
B02,B,field,1819.00,215.00,-0.82,-0.57,0.00,4.82,3.89,4.11,127.00,0.12,1.02,8.36,6.45,0.00,0.81,11.30,0.26,2.14,0.00,58.97,22.00,37.94,69.73,24.42,5.85,Sl2,60,15
B03,B,field,1817.00,215.00,-0.82,-0.57,0.00,4.90,4.20,4.43,450.00,0.17,1.62,9.35,1.80,0.00,0.95,24.79,1.46,5.49,0.24,90.49,35.33,132.46,71.24,22.08,6.68,Sl2,35,17
B03,B,field,1816.00,230.00,-0.64,-0.77,0.00,5.52,4.75,4.85,196.00,0.16,1.42,8.72,0.28,0.00,0.48,30.60,2.40,6.03,0.00,97.99,38.88,99.79,66.57,22.87,10.56,Sl3,45,18
B04,B,field,1802.00,250.00,-0.34,-0.94,10.00,5.12,4.13,4.44,117.00,0.06,0.50,8.48,6.29,0.00,0.27,7.91,1.15,2.68,0.00,58.80,18.59,72.72,72.59,19.21,8.20,Sl3,40,19
B04,B,field,1802.00,250.00,-0.34,-0.94,10.00,5.29,4.32,4.71,177.00,0.07,0.62,8.70,4.61,0.00,0.37,8.51,1.51,5.99,0.00,73.84,21.50,48.56,64.69,23.53,11.78,Sl3,25,17
B05,B,field,1799.00,285.00,0.26,-0.97,5.00,5.32,4.46,4.72,170.00,0.12,1.14,9.64,0.96,0.03,0.60,26.20,2.64,5.94,0.84,95.52,37.30,60.89,70.76,23.31,5.94,Sl2,55,8
B05,B,field,1797.00,285.00,0.26,-0.97,7.00,5.88,4.94,5.10,212.00,0.14,1.21,8.47,4.68,0.01,0.50,37.96,4.05,8.46,0.00,99.21,44.39,43.65,70.57,23.21,6.22,Sl2,35,9
B06,B,field,1718.00,200.00,-0.94,-0.34,10.00,4.89,3.91,4.16,75.00,0.10,0.95,9.12,10.91,0.01,0.56,12.23,1.05,2.92,0.35,56.83,29.11,24.25,56.44,27.72,15.85,Sl4,50,22
B06,B,field,1716.00,210.00,-0.87,-0.50,10.00,5.24,4.16,4.41,58.00,0.10,0.76,7.41,8.42,0.00,0.49,24.01,1.12,5.90,0.00,75.44,40.75,0.00,40.77,31.89,27.34,Lt2,85,19
B07,B,field,1754.00,130.00,-0.64,0.77,5.00,5.57,4.33,4.68,98.00,0.05,0.41,9.02,2.29,0.00,0.38,13.19,1.29,3.00,0.60,85.41,21.16,53.22,75.17,19.59,5.24,Sl2,5,11
B07,B,field,1756.00,175.00,-1.00,0.09,5.00,4.75,3.98,4.24,221.00,0.07,0.56,7.92,5.81,0.01,0.71,10.57,1.24,2.39,0.34,66.38,21.89,55.82,77.94,16.38,5.68,Sl2,5,11
B08,B,field,1724.00,185.00,-1.00,-0.09,0.00,5.28,4.32,4.58,143.00,0.11,1.02,9.31,1.67,0.00,0.78,22.23,2.20,6.63,0.52,91.78,34.41,31.22,64.02,24.02,11.97,Sl3,25,14
B08,B,field,1723.00,210.00,-0.87,-0.50,3.00,5.10,4.02,4.47,162.00,0.14,1.24,8.98,5.63,0.00,0.72,19.04,0.32,3.90,0.00,74.98,30.24,14.48,55.59,26.33,18.08,Ls4,18,12
B09,B,field,1722.00,200.00,-0.94,-0.34,0.00,4.94,3.98,4.22,124.00,0.13,1.22,9.64,9.84,0.00,0.77,16.03,1.58,4.59,0.33,66.03,34.12,18.24,59.38,25.26,15.36,Sl4,25,11
B09,B,field,1722.00,200.00,-0.94,-0.34,0.00,5.24,4.67,4.85,417.00,0.16,1.51,9.62,0.52,0.00,0.64,35.73,2.51,7.47,0.49,97.40,47.44,34.37,66.29,21.47,12.25,Sl4,20,12
C01,C,field,1716.00,250.00,-0.34,-0.94,0.00,5.18,4.26,4.48,102.00,0.13,1.33,10.05,2.27,0.00,0.60,20.85,2.08,5.12,0.46,89.81,31.75,102.30,66.30,21.72,11.98,Sl3,90,14
C01,C,field,1718.00,260.00,-0.17,-0.98,0.00,4.32,3.65,3.85,320.00,0.11,0.85,8.02,14.92,0.06,0.65,6.60,0.92,1.57,0.13,34.11,27.06,97.50,69.77,19.55,10.68,Sl3,75,11
C02,C,field,1714.00,225.00,-0.71,-0.71,0.00,5.73,4.72,4.86,73.00,0.11,1.06,9.94,0.19,0.00,0.44,26.41,2.53,5.51,0.12,98.28,35.17,76.95,69.52,22.13,8.35,Sl3,55,14
C02,C,field,1714.00,225.00,-0.71,-0.71,0.00,5.50,4.53,4.73,85.00,0.11,0.97,8.79,0.84,0.00,0.59,22.56,1.54,5.20,0.00,94.24,30.30,28.30,62.52,26.47,11.01,Sl3,55,20
C03,C,field,1643.00,195.00,-0.97,-0.26,2.00,5.20,4.07,4.34,73.00,0.12,1.13,9.65,11.26,0.14,0.41,16.81,1.95,3.28,0.82,64.55,35.42,51.28,52.76,30.14,17.10,Ls3,60,8
C03,C,field,1644.00,205.00,-0.91,-0.42,2.00,4.97,4.14,4.44,274.00,0.16,1.37,8.67,9.89,0.06,0.41,20.60,1.09,2.92,0.68,69.25,36.53,45.19,41.20,36.84,21.96,Ls3,67,10
C04,C,field,1652.00,235.00,-0.57,-0.82,0.00,4.74,3.91,4.11,142.00,0.09,0.89,9.84,11.20,0.01,0.59,9.53,1.33,2.95,0.39,52.51,27.05,130.47,58.32,29.40,12.28,Sl4,57,18
C04,C,field,1652.00,235.00,-0.57,-0.82,0.00,4.89,4.04,4.25,184.00,0.10,0.91,8.86,5.86,0.01,0.63,12.27,2.15,4.11,0.34,72.23,26.13,156.50,62.62,25.63,11.75,Sl3,65,22
C05,C,field,1522.00,200.00,-0.94,-0.34,0.00,5.27,4.04,4.21,55.00,0.08,0.77,9.78,13.04,0.15,0.36,12.90,1.52,3.13,1.16,56.63,33.04,0.00,52.14,30.72,17.13,Ls3,56,8
C05,C,field,1522.00,200.00,-0.94,-0.34,0.00,4.84,4.00,4.19,243.00,0.10,0.87,9.19,12.86,0.19,0.28,11.07,0.73,2.30,1.04,51.46,29.41,2.74,52.93,29.68,17.39,Ls4,65,7
C07,C,field,1803.00,180.00,-1.00,0.00,3.00,4.99,4.02,4.14,38.00,0.08,0.72,8.97,12.51,0.01,0.54,8.66,0.80,2.58,0.08,46.28,26.18,16.25,63.69,24.09,12.22,Sl4,72,16
C07,C,field,1803.00,170.00,-0.98,0.17,3.00,4.94,4.01,4.16,49.00,0.10,0.88,8.95,13.86,0.02,0.57,11.41,1.51,3.26,0.42,51.88,32.00,0.70,54.94,21.02,24.04,Ls4,55,13
C08,C,field,1828.00,200.00,-0.94,-0.34,5.00,5.67,4.57,4.89,61.00,0.09,0.84,8.97,2.46,0.00,0.30,20.45,1.86,5.56,0.74,90.59,31.58,97.90,72.18,20.73,7.08,Sl2,95,17
C08,C,field,1830.00,180.00,-1.00,0.00,20.00,5.42,4.36,4.56,46.00,0.09,0.88,9.52,8.68,0.01,0.31,14.86,1.75,4.56,0.25,69.40,30.85,44.80,64.69,23.14,12.17,Sl4,60,18
C09,C,field,1822.00,180.00,-1.00,0.00,15.00,4.87,4.18,4.32,287.00,0.12,1.09,9.22,10.43,0.02,0.48,13.29,1.97,3.83,0.35,62.68,31.01,70.31,68.55,21.35,10.10,Sl3,20,12
C09,C,field,1820.00,220.00,-0.77,-0.64,15.00,4.97,4.14,4.27,347.00,0.15,1.37,9.33,8.70,0.00,0.45,14.76,1.97,4.56,0.32,68.84,31.41,38.28,59.43,23.41,17.16,Ls4,35,12
A01,A,wall,1789.00,170.00,-0.98,0.17,85.00,5.29,4.31,4.56,83.00,0.09,0.91,10.16,6.46,0.00,0.29,12.36,2.17,3.06,0.15,71.27,24.91,0.00,57.87,22.83,19.30,Ls4,90,33
A01,A,wall,1789.00,170.00,-0.98,0.17,85.00,5.64,4.44,4.81,85.00,0.13,1.01,7.98,3.90,0.01,0.26,11.63,2.49,2.73,0.15,79.13,21.48,12.50,67.33,22.10,10.57,Sl3,100,28
A02,A,wall,1806.00,260.00,-0.17,-0.98,85.00,5.75,4.49,4.86,89.00,0.07,0.54,7.71,1.50,0.00,0.51,14.15,5.03,6.30,0.00,91.34,27.28,118.70,66.81,22.25,10.94,Sl3,95,31
A02,A,wall,1806.00,270.00,0.00,-1.00,90.00,5.24,4.16,4.38,59.00,0.05,0.57,10.41,15.51,0.00,0.28,6.72,0.00,1.35,0.00,30.50,24.23,0.00,65.19,25.00,9.81,Sl3,85,31
A03,A,wall,1800.00,195.00,-0.97,-0.26,85.00,5.48,4.21,4.59,61.00,0.11,1.09,9.63,13.01,0.00,0.35,12.29,0.83,3.16,0.00,53.59,30.22,5.05,45.22,28.19,26.59,Lts,98,31
A03,A,wall,1797.00,160.00,-0.94,0.34,85.00,5.57,4.45,4.80,79.00,0.13,1.37,10.16,6.49,0.00,0.35,16.95,0.71,2.64,0.00,73.45,27.46,0.00,47.92,32.27,19.80,Ls3,98,31
A04,A,wall,1805.00,220.00,-0.77,-0.64,25.00,4.86,4.07,4.25,132.00,0.11,1.09,9.64,4.16,0.02,0.79,16.49,1.07,3.92,0.00,78.48,27.34,17.12,78.36,16.37,5.27,Sl2,93,18
A04,A,wall,1809.00,235.00,-0.57,-0.82,3.00,6.08,5.13,5.24,85.00,0.07,0.57,8.44,0.15,0.00,0.22,28.11,2.00,5.91,0.00,99.68,35.99,75.14,79.94,15.87,4.19,Su2,80,12
A05,A,wall,1803.00,195.00,-0.97,-0.26,87.50,5.26,4.16,4.51,60.00,0.09,0.80,9.41,10.18,0.01,0.37,11.80,1.56,3.17,0.29,60.04,28.04,6.95,66.18,22.42,11.40,Sl3,100,29
A05,A,wall,1804.00,205.00,-0.91,-0.42,87.00,5.21,4.19,4.43,71.00,0.10,0.70,7.03,13.69,0.00,0.30,10.61,1.36,2.64,0.00,49.57,29.33,14.26,59.47,26.37,14.16,Sl4,95,31
A06,A,wall,1814.00,270.00,0.00,-1.00,80.00,5.47,4.27,4.42,46.00,0.03,0.36,12.01,7.14,0.01,0.13,5.68,1.21,1.46,0.16,52.23,16.30,1.16,73.78,21.68,4.54,Su2,90,23
A06,A,wall,1814.00,270.00,0.00,-1.00,85.00,5.20,4.22,4.22,27.00,0.06,0.45,7.42,20.22,0.01,0.08,3.38,0.19,0.80,0.00,14.21,24.65,0.00,71.46,19.78,8.77,Sl3,95,35
A07,A,wall,1785.00,130.00,-0.64,0.77,87.00,5.44,4.41,4.53,34.00,0.04,0.41,9.77,4.50,0.01,0.17,6.68,1.36,2.36,0.24,67.80,15.68,32.93,78.33,16.06,5.61,Sl2,95,38
A07,A,wall,1785.00,160.00,-0.94,0.34,86.00,5.23,4.23,4.40,38.00,0.07,0.69,9.67,9.12,0.01,0.28,9.40,1.34,2.68,0.21,57.57,23.67,5.06,62.90,23.06,14.05,Sl4,90,42
A08,A,wall,1778.00,190.00,-0.98,-0.17,90.00,5.74,4.21,4.24,28.00,0.09,0.95,10.64,17.29,0.01,0.29,6.13,0.81,1.68,0.40,33.15,27.21,8.36,51.38,25.76,22.86,Ls4,95,28
A08,A,wall,1778.00,200.00,-0.94,-0.34,90.00,5.54,4.37,4.43,22.00,0.04,0.43,10.38,8.18,0.00,0.15,5.28,0.88,1.33,0.40,47.42,16.66,11.43,64.03,23.40,12.57,Sl4,85,32
B02,B,wall,1821.00,197.50,-0.95,-0.30,85.00,4.82,4.03,4.33,262.00,0.05,0.37,7.39,8.48,0.01,0.24,8.22,0.60,2.14,3.93,60.88,24.45,11.61,65.83,26.17,8.00,Sl3,75,26
B02,B,wall,1820.00,230.00,-0.64,-0.77,85.00,5.26,4.15,4.29,29.00,0.04,0.19,4.72,8.35,0.00,0.21,4.57,0.00,0.84,0.00,30.14,13.51,0.00,72.31,23.12,4.57,Su2,80,24
